id,ime_barke,tip_barke,cena,dolzina,sirina,letnik,st_kabin,st_ur,drzava
1279,Azimut Atlantis 45,Hardtop,560000,14.61,4.2,2019,2,,Italy
128,Sealine 360 AMBASSADOR,Motor Yacht,75000,10.9,3.56,1996,2,1100,Italy
1280,Pershing 50',Hardtop,410000,15.23,4.38,2006,3,1040,Italy
1282,Rizzardi CR 50 Top Line,Hardtop,,16.2,4.5,2006,3,1300,Italy
1283,Sealine S 28,Cabin Cruiser,75000,8.81,3.02,2005,2,720,Italy
1284,Sunseeker Manhattan 70,Flybridge,1200000,21.98,5.7,2010,4,950,Italy
1285,Azimut 40 Fly,Flybridge,95000,12.75,4.05,1993,2,650,Italy
1286,Bénéteau Antares 10.80,Flybridge,130000,10.8,3.4,2007,2,1450,Italy
1287,Sealine SC 35,Flybridge,169000,11.0,3.7,2008,2,550,Italy
1288,Innovazione & Progetti Alena 47,Hardtop,185000,14.6,4.64,2002,3,1600,Italy
1289,Cranchi 47 HT,Hardtop,235000,14.45,4.15,2005,3,830,Italy
129,Innovazioni e Progetti MIRA 34,Motor Yacht,97000,10.6,3.54,2009,2,620,Italy
1290,Azimut 43,Flybridge,155000,14.6,4.42,,3,750,Italy
1291,Sealine F 44,Flybridge,149000,13.4,4.05,2000,2,,Italy
1292,"Aprea Fratelli Sorrento 7,80",Motor Yacht,32000,7.85,2.32,1991,1,,Italy
1293,Fairline Squadron 62,Flybridge,295000,18.97,5.21,1993,4,,Italy
1294,Cantieri Estensi Goldstar 360,Pilothouse,190000,11.65,3.9,2008,2,,Italy
1295,AZIMUT 46 FLY,Flybridge,,14.9,4.45,2003,3,930,Italy
1296,Crownline 315 sr,Offshore Boat,72000,9.9,3.0,2007,2,650,Italy
1297,Cantieri Navali Liguri NUOVA NAUTICA LIGURE 43,Hardtop,109000,13.0,3.6,2007,2,400,Italy
1298,Cranchi E26 Classic,Sport Boat,,7.89,2.5,2023,,,Italy
1299,CNL Plastik Space 310,Pilothouse,,9.5,3.1,1998,1,1350,Italy
13,Sessa DORADO 26,Fishing Boat,49000,8.55,2.7,2007,1,620,Italy
130,Airon Marine 425,Motor Yacht,108000,11.91,3.75,2001,3,520,Italy
1300,Jeanneau Merry Fisher 895,Pilothouse,136000,7.98,2.99,2020,2,100,Italy
1301,Yanmar X47 Express Cruiser,Hardtop,695000,14.53,4.25,2022,3,164,Italy
1302,Riva RAMA 44,Classic Power Boat,345000,14.2,3.88,2002,1,950,Italy
1303,Ferretti 500 Elite,Flybridge,320000,15.83,4.8,2006,2,2050,Slovenia
